No.,Material,Density Measurement Method,Atmosphere,Printed Geom.,Laser Power (W),Scan Speed (mm/s),Hatch space (mm),Layer thickness (mm),Spot size (mm),Geometric Factor,D50 μm,RD (%),Printer Model,DOI,Density (g/cm^3),Specific Heat Capacity (J/kgK),Thermal Conductivity (W/mK),Melting Point (K)
1,316L,Image analysis,Argon,Prismatic,100.0,250.0,0.114,0.05,0.2,15.9232,40.8,95.4,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
2,316L,Image analysis,Argon,Prismatic,100.0,250.0,0.114,0.05,0.2,15.9232,40.8,97.7,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
3,316L,Image analysis,Argon,Prismatic,100.0,250.0,0.114,0.05,0.2,15.9232,40.8,93.8,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
4,316L,Image analysis,Argon,Prismatic,100.0,175.0,0.114,0.05,0.2,15.9232,40.8,93.9,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
5,316L,Image analysis,Argon,Prismatic,100.0,120.0,0.111,0.05,0.2,15.9232,40.8,97.14,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
6,316L,Image analysis,Argon,Prismatic,100.0,120.0,0.111,0.05,0.2,15.9232,40.8,95.7,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
7,316L,Image analysis,Argon,Prismatic,100.0,120.0,0.111,0.05,0.2,15.9232,40.8,94.3,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
8,316L,Image analysis,Argon,Prismatic,100.0,239.0,0.111,0.05,0.2,15.9232,40.8,96.8,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
9,316L,Image analysis,Argon,Prismatic,100.0,239.0,0.12,0.05,0.2,15.9232,40.8,92.4,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
10,316L,Image analysis,Argon,Prismatic,100.0,239.0,0.12,0.05,0.2,15.9232,40.8,93.8,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
11,316L,Image analysis,Argon,Prismatic,100.0,167.0,0.12,0.05,0.2,15.9232,40.8,96.2,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
12,316L,Image analysis,Argon,Prismatic,100.0,167.0,0.12,0.05,0.2,15.9232,40.8,96.1,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
13,316L,Image analysis,Argon,Prismatic,100.0,167.0,0.12,0.05,0.2,15.9232,40.8,98.0,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
14,316L,Image analysis,Argon,Prismatic,100.0,111.0,0.12,0.05,0.2,15.9232,40.8,99.45,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
15,316L,Image analysis,Argon,Prismatic,100.0,111.0,0.12,0.05,0.2,15.9232,40.8,96.7,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
16,316L,Image analysis,Argon,Prismatic,100.0,111.0,0.12,0.05,0.2,15.9232,40.8,98.6,SDE,https://doi.org/10.1016/j.msea.2019.138455,8.0,500.0,14.95,1660.65
17,316L,Image analysis,Argon,Cylindrical,150.0,125.0,0.09,0.05,0.035,3.984920355262769,30.0,97.0,Renishaw AM125,https://doi.org/10.1007/s11665-013-0784-8,8.0,500.0,14.95,1660.65
18,316L,Image analysis,Argon,Cylindrical,150.0,150.0,0.09,0.05,0.035,3.984920355262769,30.0,98.3,Renishaw AM125,https://doi.org/10.1007/s11665-013-0784-8,8.0,500.0,14.95,1660.65
19,316L,Image analysis,Argon,Cylindrical,150.0,175.0,0.09,0.05,0.035,3.984920355262769,30.0,97.0,Renishaw AM125,https://doi.org/10.1007/s11665-013-0784-8,8.0,500.0,14.95,1660.65
20,316L,Image analysis,Argon,Cylindrical,150.0,200.0,0.09,0.05,0.035,3.984920355262769,30.0,93.3,Renishaw AM125,https://doi.org/10.1007/s11665-013-0784-8,8.0,500.0,14.95,1660.65
21,316L,Image analysis,NI,Other,100.0,1700.0,0.06,0.02,0.05,21.99998090277778,35.5,98.12,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
22,316L,Image analysis,NI,Other,80.0,1500.0,0.04,0.02,0.05,21.99998090277778,35.5,98.33,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
23,316L,Image analysis,NI,Other,80.0,700.0,0.08,0.02,0.05,21.99998090277778,35.5,99.02,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
24,316L,Image analysis,NI,Other,100.0,1500.0,0.04,0.02,0.05,21.99998090277778,35.5,99.13,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
25,316L,Image analysis,NI,Other,100.0,700.0,0.08,0.02,0.05,21.99998090277778,35.5,99.4,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
26,316L,Image analysis,NI,Other,80.0,700.0,0.04,0.02,0.05,21.99998090277778,35.5,99.21,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
27,316L,Image analysis,NI,Other,80.0,300.0,0.08,0.02,0.05,21.99998090277778,35.5,98.38,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
28,316L,Image analysis,NI,Other,100.0,700.0,0.04,0.02,0.05,21.99998090277778,35.5,98.92,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
29,316L,Image analysis,NI,Other,100.0,300.0,0.08,0.02,0.05,21.99998090277778,35.5,97.63,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
30,316L,Image analysis,NI,Other,80.0,300.0,0.04,0.02,0.05,21.99998090277778,35.5,97.36,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
31,316L,Image analysis,NI,Other,100.0,1388.0,0.04,0.02,0.05,21.99998090277778,35.5,98.92,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
32,316L,Image analysis,NI,Other,100.0,925.0,0.06,0.02,0.05,21.99998090277778,35.5,99.16,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
33,316L,Image analysis,NI,Other,100.0,694.0,0.08,0.02,0.05,21.99998090277778,35.5,98.84,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
34,316L,Image analysis,NI,Other,100.0,462.0,0.12,0.02,0.05,21.99998090277778,35.5,98.46,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
35,316L,Image analysis,NI,Other,100.0,1388.0,0.04,0.02,0.05,21.99998090277778,35.5,99.24,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
36,316L,Image analysis,NI,Other,100.0,925.0,0.06,0.02,0.05,21.99998090277778,35.5,99.52,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
37,316L,Image analysis,NI,Other,100.0,694.0,0.08,0.02,0.05,21.99998090277778,35.5,99.44,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
38,316L,Image analysis,NI,Other,100.0,462.0,0.12,0.02,0.05,21.99998090277778,35.5,98.9,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
39,316L,Image analysis,NI,Other,100.0,1388.0,0.04,0.02,0.05,21.99998090277778,35.5,99.08,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
40,316L,Image analysis,NI,Other,100.0,925.0,0.06,0.02,0.05,21.99998090277778,35.5,99.01,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
41,316L,Image analysis,NI,Other,100.0,694.0,0.08,0.02,0.05,21.99998090277778,35.5,98.98,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
42,316L,Image analysis,NI,Other,100.0,462.0,0.12,0.02,0.05,21.99998090277778,35.5,97.85,EP-M100T,https://doi.org/10.1007/s00170-019-03928-3,8.0,500.0,14.95,1660.65
43,316L,Image analysis,Argon,Prismatic,100.0,400.0,0.03,0.03,0.09,4.9999,38.0,97.2,REALIZER SLM 100,https://doi.org/10.1016/j.msea.2016.10.012,8.0,500.0,14.95,1660.65
44,316L,Image analysis,Argon,Prismatic,100.0,591.0,0.07,0.03,0.09,4.9999,38.0,98.5,REALIZER SLM 100,https://doi.org/10.1016/j.msea.2016.10.012,8.0,500.0,14.95,1660.65
45,316L,Image analysis,Argon,Prismatic,100.0,600.0,0.08,0.03,0.09,4.9999,38.0,97.6,REALIZER SLM 100,https://doi.org/10.1016/j.msea.2016.10.012,8.0,500.0,14.95,1660.65
46,316L,Image analysis,Argon,Prismatic,100.0,400.0,0.1,0.03,0.09,4.9999,38.0,98.0,REALIZER SLM 100,https://doi.org/10.1016/j.msea.2016.10.012,8.0,500.0,14.95,1660.65
47,316L,Image analysis,Argon,Prismatic,100.0,400.0,0.15,0.03,0.09,4.9999,38.0,91.2,REALIZER SLM 100,https://doi.org/10.1016/j.msea.2016.10.012,8.0,500.0,14.95,1660.65
48,316L,Other,Argon,Prismatic,220.0,960.0,0.08,0.04,0.1,6.998412698412698,46.0,95.8,BLT-S200,https://doi.org/10.1016/j.jallcom.2019.03.082,8.0,500.0,14.95,1660.65
49,316L,Other,Argon,Prismatic,220.0,960.0,0.08,0.04,0.1,6.998412698412698,46.0,95.5,BLT-S200,https://doi.org/10.1016/j.jallcom.2019.03.082,8.0,500.0,14.95,1660.65
50,316L,Other,Argon,Prismatic,220.0,960.0,0.08,0.04,0.1,6.998412698412698,46.0,95.9,BLT-S200,https://doi.org/10.1016/j.jallcom.2019.03.082,8.0,500.0,14.95,1660.65
51,316L,Other,Argon,Prismatic,220.0,960.0,0.08,0.04,0.1,6.998412698412698,46.0,95.2,BLT-S200,https://doi.org/10.1016/j.jallcom.2019.03.082,8.0,500.0,14.95,1660.65
52,316L,Other,Argon,Prismatic,220.0,960.0,0.08,0.04,0.1,6.998412698412698,46.0,95.3,BLT-S200,https://doi.org/10.1016/j.jallcom.2019.03.082,8.0,500.0,14.95,1660.65
53,316L,Other,Argon,Prismatic,220.0,960.0,0.08,0.04,0.1,6.998412698412698,46.0,95.8,BLT-S200,https://doi.org/10.1016/j.jallcom.2019.03.082,8.0,500.0,14.95,1660.65
54,316L,Other,Argon,Prismatic,220.0,960.0,0.08,0.04,0.1,6.998412698412698,46.0,95.8,BLT-S200,https://doi.org/10.1016/j.jallcom.2019.03.082,8.0,500.0,14.95,1660.65
55,316L,Archimedes method,NI,Prismatic,150.0,400.0,0.08,0.04,0.07,4.998,30.0,99.0,SDE,https://doi.org/10.1007/s00170-019-04136-9,8.0,500.0,14.95,1660.65
56,316L,Archimedes method,NI,Prismatic,150.0,500.0,0.08,0.04,0.07,4.998,30.0,99.3,SDE,https://doi.org/10.1007/s00170-019-04136-9,8.0,500.0,14.95,1660.65
57,316L,Archimedes method,NI,Prismatic,150.0,600.0,0.08,0.04,0.07,4.998,30.0,98.2,SDE,https://doi.org/10.1007/s00170-019-04136-9,8.0,500.0,14.95,1660.65
58,316L,Archimedes method,NI,Prismatic,150.0,700.0,0.08,0.04,0.07,4.998,30.0,95.9,SDE,https://doi.org/10.1007/s00170-019-04136-9,8.0,500.0,14.95,1660.65
59,316L,Archimedes method,NI,Prismatic,150.0,800.0,0.08,0.04,0.07,4.998,30.0,91.7,SDE,https://doi.org/10.1007/s00170-019-04136-9,8.0,500.0,14.95,1660.65
60,316L,Archimedes method,Argon,Prismatic,175.0,668.0,0.12,0.03,0.1,3.995837669094693,36.0,99.9,SLM-250HL ,https://doi.org/10.1016/j.jmapro.2019.07.010,8.0,500.0,14.95,1660.65
61,316L,Archimedes method,Argon,Prismatic,175.0,668.0,0.12,0.03,0.1,3.995837669094693,36.0,99.3,SLM-250HL ,https://doi.org/10.1016/j.jmapro.2019.07.010,8.0,500.0,14.95,1660.65
62,316L,Archimedes method,Argon,Prismatic,175.0,668.0,0.12,0.03,0.1,3.995837669094693,36.0,99.0,SLM-250HL ,https://doi.org/10.1016/j.jmapro.2019.07.010,8.0,500.0,14.95,1660.65
63,316L,Archimedes method,Argon,Prismatic,175.0,668.0,0.12,0.03,0.1,3.995837669094693,36.0,98.0,SLM-250HL ,https://doi.org/10.1016/j.jmapro.2019.07.010,8.0,500.0,14.95,1660.65
64,316L,Archimedes method,Argon,Tensile Samples,200.0,2000.0,0.06,0.03,0.07,2.996898625,14.63,97.92,AFS-M120,https://doi.org/10.3390/met8090729,8.0,500.0,14.95,1660.65
65,316L,Archimedes method,Argon,Tensile Samples,200.0,2000.0,0.06,0.03,0.07,2.996898625,14.63,97.0,AFS-M120,https://doi.org/10.3390/met8090729,8.0,500.0,14.95,1660.65
66,316L,Archimedes method,Argon,Tensile Samples,200.0,2000.0,0.06,0.03,0.07,2.996898625,14.63,97.22,AFS-M120,https://doi.org/10.3390/met8090729,8.0,500.0,14.95,1660.65
67,316L,Image analysis,Argon,Prismatic,150.0,1250.0,0.08,0.03,0.085,9.999650545149567,30.36683908045979,96.57,SLM-280HL,https://doi.org/10.1016/j.jallcom.2018.01.098,8.0,500.0,14.95,1660.65
68,316L,Image analysis,Argon,Prismatic,200.0,1667.0,0.08,0.03,0.085,9.999650545149567,30.36683908045979,97.38,SLM-280HL,https://doi.org/10.1016/j.jallcom.2018.01.098,8.0,500.0,14.95,1660.65
69,316L,Image analysis,Argon,Prismatic,150.0,714.0,0.14,0.03,0.085,9.999650545149567,30.36683908045979,97.46,SLM-280HL,https://doi.org/10.1016/j.jallcom.2018.01.098,8.0,500.0,14.95,1660.65
70,316L,Image analysis,Argon,Prismatic,200.0,952.0,0.14,0.03,0.085,9.999650545149567,30.36683908045979,97.35,SLM-280HL,https://doi.org/10.1016/j.jallcom.2018.01.098,8.0,500.0,14.95,1660.65
71,316L,Image analysis,Argon,Prismatic,150.0,750.0,0.12,0.03,0.085,9.999650545149567,30.36683908045979,98.72,SLM-280HL,https://doi.org/10.1016/j.jallcom.2018.01.098,8.0,500.0,14.95,1660.65
72,316L,Image analysis,Argon,Prismatic,175.0,750.0,0.12,0.03,0.085,9.999650545149567,30.36683908045979,99.73,SLM-280HL,https://doi.org/10.1016/j.jallcom.2018.01.098,8.0,500.0,14.95,1660.65
73,316L,Image analysis,Argon,Prismatic,150.0,781.0,0.08,0.03,0.085,9.999650545149567,30.36683908045979,99.84,SLM-280HL,https://doi.org/10.1016/j.jallcom.2018.01.098,8.0,500.0,14.95,1660.65
74,316L,Image analysis,Argon,Prismatic,200.0,1042.0,0.08,0.03,0.085,9.999650545149567,30.36683908045979,99.7,SLM-280HL,https://doi.org/10.1016/j.jallcom.2018.01.098,8.0,500.0,14.95,1660.65
75,316L,Image analysis,Argon,Prismatic,150.0,446.0,0.14,0.03,0.085,9.999650545149567,30.36683908045979,99.84,SLM-280HL,https://doi.org/10.1016/j.jallcom.2018.01.098,8.0,500.0,14.95,1660.65
76,316L,Image analysis,Argon,Prismatic,200.0,595.0,0.14,0.03,0.085,9.999650545149567,30.36683908045979,99.27,SLM-280HL,https://doi.org/10.1016/j.jallcom.2018.01.098,8.0,500.0,14.95,1660.65
77,316L,Archimedes method,Nitrogen,Cylindrical,70.0,1200.0,0.06,0.02,0.055,3.993214159868246,30.0,93.73,MYSINT100,https://doi.org/10.1007/s00170-020-05072-9,8.0,500.0,14.95,1660.65
78,316L,Archimedes method,Nitrogen,Cylindrical,130.0,700.0,0.06,0.02,0.055,3.993214159868246,30.0,99.81,MYSINT100,https://doi.org/10.1007/s00170-020-05072-9,8.0,500.0,14.95,1660.65
79,316L,Archimedes method,Nitrogen,Cylindrical,70.0,1200.0,0.06,0.02,0.055,3.993214159868246,30.0,94.07,MYSINT100,https://doi.org/10.1007/s00170-020-05072-9,8.0,500.0,14.95,1660.65
80,316L,Archimedes method,Nitrogen,Cylindrical,130.0,700.0,0.06,0.02,0.055,3.993214159868246,30.0,99.75,MYSINT100,https://doi.org/10.1007/s00170-020-05072-9,8.0,500.0,14.95,1660.65
81,316L,Archimedes method,NI,Prismatic,180.4,821.6,0.07,0.02,0.08,19.99957685950413,38.0,98.31,FS271M,https://doi.org/10.3390/ma13071601 ,8.0,500.0,14.95,1660.65
82,316L,Archimedes method,NI,Prismatic,269.6,821.6,0.07,0.02,0.08,19.99957685950413,38.0,98.62,FS271M,https://doi.org/10.3390/ma13071601 ,8.0,500.0,14.95,1660.65
83,316L,Archimedes method,NI,Prismatic,180.4,1178.4,0.07,0.02,0.08,19.99957685950413,38.0,98.25,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
84,316L,Archimedes method,NI,Prismatic,269.6,1178.4,0.07,0.02,0.08,19.99957685950413,38.0,98.63,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
85,316L,Archimedes method,NI,Prismatic,180.4,821.6,0.11,0.02,0.08,19.99957685950413,38.0,98.61,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
86,316L,Archimedes method,NI,Prismatic,269.6,821.6,0.11,0.02,0.08,19.99957685950413,38.0,98.53,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
87,316L,Archimedes method,NI,Prismatic,180.4,1178.4,0.11,0.02,0.08,19.99957685950413,38.0,98.25,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
88,316L,Archimedes method,NI,Prismatic,269.6,1178.4,0.11,0.02,0.08,19.99957685950413,38.0,98.38,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
89,316L,Archimedes method,NI,Prismatic,150.0,1000.0,0.09,0.02,0.08,19.99957685950413,38.0,98.37,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
90,316L,Archimedes method,NI,Prismatic,300.0,1000.0,0.09,0.02,0.08,19.99957685950413,38.0,98.71,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
91,316L,Archimedes method,NI,Prismatic,225.0,700.0,0.09,0.02,0.08,19.99957685950413,38.0,98.73,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
92,316L,Archimedes method,NI,Prismatic,225.0,1300.0,0.09,0.02,0.08,19.99957685950413,38.0,98.37,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
93,316L,Archimedes method,NI,Prismatic,225.0,1000.0,0.06,0.02,0.08,19.99957685950413,38.0,98.43,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
94,316L,Archimedes method,NI,Prismatic,225.0,1000.0,0.12,0.02,0.08,19.99957685950413,38.0,98.33,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
95,316L,Archimedes method,NI,Prismatic,225.0,1000.0,0.09,0.02,0.08,19.99957685950413,38.0,98.65,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
96,316L,Archimedes method,NI,Prismatic,225.0,1000.0,0.09,0.02,0.08,19.99957685950413,38.0,98.63,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
97,316L,Archimedes method,NI,Prismatic,225.0,1000.0,0.09,0.02,0.08,19.99957685950413,38.0,98.62,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
98,316L,Archimedes method,NI,Prismatic,225.0,1000.0,0.09,0.02,0.08,19.99957685950413,38.0,98.68,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
99,316L,Archimedes method,NI,Prismatic,225.0,1000.0,0.09,0.02,0.08,19.99957685950413,38.0,98.71,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
100,316L,Archimedes method,NI,Prismatic,225.0,1000.0,0.09,0.02,0.08,19.99957685950413,38.0,98.67,FS271M,https://doi.org/10.3390/ma13071601,8.0,500.0,14.95,1660.65
101,316L,Image analysis,Argon,Prismatic,175.0,26.28,0.018,0.46,0.075,8.999039999999999,35.0,98.93,Renishaw AM400,https://doi.org/10.1016/j.surfcoat.2020.125956,8.0,500.0,14.95,1660.65
102,316L,Image analysis,Argon,Prismatic,125.0,21.44,0.018,0.35,0.075,8.999039999999999,35.0,98.15,Renishaw AM400,https://doi.org/10.1016/j.surfcoat.2020.125956,8.0,500.0,14.95,1660.65
103,316L,Image analysis,Argon,Prismatic,175.0,18.76,0.018,0.4,0.075,8.999039999999999,35.0,97.8,Renishaw AM400,https://doi.org/10.1016/j.surfcoat.2020.125956,8.0,500.0,14.95,1660.65
104,316L,Image analysis,Argon,Prismatic,175.0,26.28,0.037,0.46,0.075,8.999039999999999,35.0,98.85,Renishaw AM400,https://doi.org/10.1016/j.surfcoat.2020.125956,8.0,500.0,14.95,1660.65
105,316L,Image analysis,Argon,Prismatic,125.0,21.44,0.037,0.35,0.075,8.999039999999999,35.0,97.65,Renishaw AM400,https://doi.org/10.1016/j.surfcoat.2020.125956,8.0,500.0,14.95,1660.65
106,316L,Image analysis,Argon,Prismatic,175.0,18.76,0.037,0.4,0.075,8.999039999999999,35.0,98.02,Renishaw AM400,https://doi.org/10.1016/j.surfcoat.2020.125956,8.0,500.0,14.95,1660.65
107,316L,Image analysis,Argon,Prismatic,175.0,26.28,0.056,0.46,0.075,8.999039999999999,35.0,99.27,Renishaw AM400,https://doi.org/10.1016/j.surfcoat.2020.125956,8.0,500.0,14.95,1660.65
108,316L,Image analysis,Argon,Prismatic,125.0,21.44,0.056,0.35,0.075,8.999039999999999,35.0,99.4,Renishaw AM400,https://doi.org/10.1016/j.surfcoat.2020.125956,8.0,500.0,14.95,1660.65
109,316L,Image analysis,Argon,Prismatic,175.0,18.76,0.056,0.4,0.075,8.999039999999999,35.0,99.54,Renishaw AM400,https://doi.org/10.1016/j.surfcoat.2020.125956,8.0,500.0,14.95,1660.65
110,316L,Archimedes method,NI,Tensile Samples,140.0,700.0,0.08,0.02,0.05,53.999985,31.13,87.92,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
111,316L,Archimedes method,NI,Tensile Samples,160.0,700.0,0.08,0.02,0.05,53.999985,31.13,89.59,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
112,316L,Archimedes method,NI,Tensile Samples,140.0,900.0,0.08,0.02,0.05,53.999985,31.13,96.28,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
113,316L,Archimedes method,NI,Tensile Samples,160.0,900.0,0.08,0.02,0.05,53.999985,31.13,89.19,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
114,316L,Archimedes method,NI,Tensile Samples,140.0,700.0,0.08,0.04,0.05,53.999985,31.13,86.31,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
115,316L,Archimedes method,NI,Tensile Samples,160.0,700.0,0.08,0.04,0.05,53.999985,31.13,86.25,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
116,316L,Archimedes method,NI,Tensile Samples,140.0,900.0,0.08,0.04,0.05,53.999985,31.13,75.8,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
117,316L,Archimedes method,NI,Tensile Samples,160.0,900.0,0.08,0.04,0.05,53.999985,31.13,80.07,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
118,316L,Archimedes method,NI,Tensile Samples,150.0,700.0,0.07,0.03,0.05,53.999985,31.13,85.95,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
119,316L,Archimedes method,NI,Tensile Samples,150.0,900.0,0.07,0.03,0.05,53.999985,31.13,82.1,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
120,316L,Archimedes method,NI,Tensile Samples,150.0,700.0,0.09,0.03,0.05,53.999985,31.13,82.17,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
121,316L,Archimedes method,NI,Tensile Samples,150.0,900.0,0.09,0.03,0.05,53.999985,31.13,73.83,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
122,316L,Archimedes method,NI,Tensile Samples,150.0,700.0,0.07,0.03,0.05,53.999985,31.13,86.09,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
123,316L,Archimedes method,NI,Tensile Samples,150.0,900.0,0.07,0.03,0.05,53.999985,31.13,85.89,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
124,316L,Archimedes method,NI,Tensile Samples,150.0,700.0,0.09,0.03,0.05,53.999985,31.13,82.67,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
125,316L,Archimedes method,NI,Tensile Samples,150.0,900.0,0.09,0.03,0.05,53.999985,31.13,73.41,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
126,316L,Archimedes method,NI,Tensile Samples,150.0,800.0,0.07,0.02,0.05,53.999985,31.13,89.49,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
127,316L,Archimedes method,NI,Tensile Samples,150.0,800.0,0.09,0.02,0.05,53.999985,31.13,86.52,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
128,316L,Archimedes method,NI,Tensile Samples,150.0,800.0,0.07,0.04,0.05,53.999985,31.13,73.78,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
129,316L,Archimedes method,NI,Tensile Samples,150.0,800.0,0.09,0.04,0.05,53.999985,31.13,66.18,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
130,316L,Archimedes method,NI,Tensile Samples,150.0,800.0,0.07,0.02,0.05,53.999985,31.13,88.29,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
131,316L,Archimedes method,NI,Tensile Samples,150.0,800.0,0.09,0.02,0.05,53.999985,31.13,92.08,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
132,316L,Archimedes method,NI,Tensile Samples,150.0,800.0,0.07,0.04,0.05,53.999985,31.13,89.11,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
133,316L,Archimedes method,NI,Tensile Samples,150.0,800.0,0.09,0.04,0.05,53.999985,31.13,79.47,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
134,316L,Archimedes method,NI,Tensile Samples,140.0,800.0,0.08,0.02,0.05,53.999985,31.13,90.17,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
135,316L,Archimedes method,NI,Tensile Samples,160.0,800.0,0.08,0.02,0.05,53.999985,31.13,82.1,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
136,316L,Archimedes method,NI,Tensile Samples,140.0,800.0,0.08,0.04,0.05,53.999985,31.13,83.16,D280,https://doi.org/10.1155/2020/8404052,8.0,500.0,14.95,1660.65
